단어,쾌-불쾌,활성화,r,g,b
훈훈하다,4.83,5.03,236,89,0
흐믓한,5.85,5.02,177,4,89
흔쾌한,6.06,5.26,167,28,15
흠모하다,4.94,4.34,245,196,0
흥겹다,5.72,5.5,199,54,75
흥나다,5.5,6.0,55,0,54
흥미롭다,5.56,4.76,207,193,59
흥미진진하다,5.4,5.21,175,23,44
흥분,4.44,6.02,178,48,0
흥취,4.71,5.08,230,78,0
희,5.21,4.61,191,186,23
희망찬,5.39,5.12,171,15,41
희망하는,5.19,5.07,163,10,22
희열,5.32,5.44,186,48,35
희희낙락하다,4.71,4.8,242,213,0
힘찬,5.78,5.24,187,27,82
